TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"7481858","Sorcery Contested Realm","Alpha","Abundance","","","Elite","Near Mint","1.47","","2.5500","1.2400","","0","",""
"7481859","Sorcery Contested Realm","Alpha","Abundance","","","Elite","Lightly Played","","","7.3900","1.4000","","0","",""
"7481860","Sorcery Contested Realm","Alpha","Abundance","","","Elite","Moderately Played","","","","","","0","",""
"7481861","Sorcery Contested Realm","Alpha","Abundance","","","Elite","Heavily Played","","","","","","0","",""
"7481862","Sorcery Contested Realm","Alpha","Abundance","","","Elite","Damaged","","","","","","0","",""
"7481903","Sorcery Contested Realm","Alpha","Abundance (Foil)","","","Elite","Near Mint Foil","88.29","","80.9800","79.9900","","0","",""
"7481904","Sorcery Contested Realm","Alpha","Abundance (Foil)","","","Elite","Lightly Played Foil","","","","","","0","",""
"7481905","Sorcery Contested Realm","Alpha","Abundance (Foil)","","","Elite","Moderately Played Foil","","","","","","0","",""
"7481906","Sorcery Contested Realm","Alpha","Abundance (Foil)","","","Elite","Heavily Played Foil","","","","","","0","",""
"7481907","Sorcery Contested Realm","Alpha","Abundance (Foil)","","","Elite","Damaged Foil","","","","","","0","",""
"7481928","Sorcery Contested Realm","Alpha","Accursed Albatross","","","Exceptional","Near Mint","0.40","","1.7000","0.3900","","0","",""
"7481929","Sorcery Contested Realm","Alpha","Accursed Albatross","","","Exceptional","Lightly Played","","","1.9700","0.6600","","0","",""
"7481930","Sorcery Contested Realm","Alpha","Accursed Albatross","","","Exceptional","Moderately Played","","","","","","0","",""
"7481931","Sorcery Contested Realm","Alpha","Accursed Albatross","","","Exceptional","Heavily Played","","","","","","0","",""
"7481932","Sorcery Contested Realm","Alpha","Accursed Albatross","","","Exceptional","Damaged","","","","","","0","",""
